"AIQ","HCI","SD","BF","NAOS","EL","NI","AGNT"
56.8,0.4,19.3,BF02,2,30k,30000,H_l#1
55.3,0.4,18.7,BF02,2,30k,30000,H_l#2
55.6,0.4,19.0,BF02,2,30k,30000,H_l#3
57.5,0.4,19.7,BF02,2,30k,30000,H_l#4
57.9,0.4,19.8,BF02,2,30k,30000,H_l#5
46.8,1.7,28.1,BF02,2,30k,30000,MC_AIXI#1
56.0,1.3,20.8,BF02,2,30k,30000,MC_AIXI#2
45.2,1.5,24.0,BF02,2,30k,30000,MC_AIXI#3
57.6,1.3,21.6,BF02,2,30k,30000,MC_AIXI#4
54.4,1.2,19.3,BF02,2,30k,30000,MC_AIXI#5
53.0,0.4,18.2,BF02,2,30k,30000,Q_l#1
54.2,0.4,18.6,BF02,2,30k,30000,Q_l#2
55.7,0.4,19.1,BF02,2,30k,30000,Q_l#3
57.1,0.4,19.9,BF02,2,30k,30000,Q_l#4
57.9,0.4,20.5,BF02,2,30k,30000,Q_l#5
51.0,0.4,18.1,BF02,2,30k,30000,Q_0#1
52.4,0.4,18.4,BF02,2,30k,30000,Q_0#2
53.9,0.4,19.0,BF02,2,30k,30000,Q_0#3
55.3,0.4,19.8,BF02,2,30k,30000,Q_0#4
56.1,0.4,20.5,BF02,2,30k,30000,Q_0#5
39.5,0.5,24.6,BF05,5,1k,1000,Freq#1
40.1,0.5,23.6,BF05,5,1k,1000,Freq#2
40.1,0.5,23.2,BF05,5,1k,1000,Freq#3
39.6,0.4,22.3,BF05,5,1k,1000,Freq#4
39.7,0.4,22.0,BF05,5,1k,1000,Freq#5
46.5,0.5,24.1,BF05,5,1k,1000,H_l#1
48.6,0.5,23.0,BF05,5,1k,1000,H_l#2
48.3,0.5,23.3,BF05,5,1k,1000,H_l#3
42.8,0.5,24.6,BF05,5,1k,1000,H_l#4
40.3,0.5,25.3,BF05,5,1k,1000,H_l#5
42.1,1.2,18.7,BF05,5,1k,1000,MC_AIXI#1
44.5,1.1,18.4,BF05,5,1k,1000,MC_AIXI#2
38.8,1.1,17.6,BF05,5,1k,1000,MC_AIXI#3
40.3,1.1,17.0,BF05,5,1k,1000,MC_AIXI#4
36.1,1.1,17.1,BF05,5,1k,1000,MC_AIXI#5
44.0,0.4,21.8,BF05,5,1k,1000,Q_l#1
44.0,0.4,22.7,BF05,5,1k,1000,Q_l#2
42.5,0.5,24.1,BF05,5,1k,1000,Q_l#3
40.0,0.5,24.8,BF05,5,1k,1000,Q_l#4
39.0,0.5,25.2,BF05,5,1k,1000,Q_l#5
41.8,0.4,21.7,BF05,5,1k,1000,Q_0#1
41.6,0.4,22.8,BF05,5,1k,1000,Q_0#2
40.4,0.5,23.8,BF05,5,1k,1000,Q_0#3
37.9,0.5,24.0,BF05,5,1k,1000,Q_0#4
37.1,0.5,24.1,BF05,5,1k,1000,Q_0#5
43.9,0.5,23.6,BF05,5,10k,10000,Freq#1
44.5,0.5,23.1,BF05,5,10k,10000,Freq#2
44.8,0.4,22.7,BF05,5,10k,10000,Freq#3
44.9,0.4,22.5,BF05,5,10k,10000,Freq#4
44.9,0.4,22.3,BF05,5,10k,10000,Freq#5
53.8,0.5,24.1,BF05,5,10k,10000,H_l#1
51.9,0.4,21.8,BF05,5,10k,10000,H_l#2
53.3,0.4,22.6,BF05,5,10k,10000,H_l#3
53.7,0.5,25.2,BF05,5,10k,10000,H_l#4
51.5,0.5,23.0,BF05,5,10k,10000,H_l#5
54.0,1.4,22.1,BF05,5,10k,10000,MC_AIXI#1
51.2,1.2,19.3,BF05,5,10k,10000,MC_AIXI#2
53.6,1.4,21.8,BF05,5,10k,10000,MC_AIXI#3
51.8,1.3,20.9,BF05,5,10k,10000,MC_AIXI#4
46.8,1.2,19.1,BF05,5,10k,10000,MC_AIXI#5
48.5,0.4,20.8,BF05,5,10k,10000,Q_l#1
49.4,0.4,21.3,BF05,5,10k,10000,Q_l#2
50.6,0.4,22.9,BF05,5,10k,10000,Q_l#3
49.3,0.5,24.5,BF05,5,10k,10000,Q_l#4
46.0,0.5,25.4,BF05,5,10k,10000,Q_l#5
46.6,0.4,20.9,BF05,5,10k,10000,Q_0#1
48.0,0.4,21.3,BF05,5,10k,10000,Q_0#2
49.0,0.4,22.5,BF05,5,10k,10000,Q_0#3
48.5,0.5,23.6,BF05,5,10k,10000,Q_0#4
44.4,0.5,24.4,BF05,5,10k,10000,Q_0#5
47.7,0.4,22.4,BF05,5,100k,100000,Freq#1
48.1,0.4,22.0,BF05,5,100k,100000,Freq#2
48.0,0.4,21.6,BF05,5,100k,100000,Freq#3
47.4,0.4,21.3,BF05,5,100k,100000,Freq#4
