"AIQ","HCI","SD","BF","NOC","EL","NI","AGNT"
53.0,1.4,23.0,BF53,3,30k,30000,MC_AIXI#4
48.3,1.3,20.5,BF53,3,30k,30000,MC_AIXI#5
47.8,0.4,20.2,BF53,3,30k,30000,Q_l#1
48.9,0.4,20.5,BF53,3,30k,30000,Q_l#2
51.9,0.4,22.0,BF53,3,30k,30000,Q_l#3
53.3,0.5,23.3,BF53,3,30k,30000,Q_l#4
52.9,0.5,24.4,BF53,3,30k,30000,Q_l#5
45.8,0.4,19.4,BF53,3,30k,30000,Q_0#1
48.1,0.4,20.4,BF53,3,30k,30000,Q_0#2
50.4,0.4,21.5,BF53,3,30k,30000,Q_0#3
52.4,0.4,22.6,BF53,3,30k,30000,Q_0#4
52.2,0.5,23.8,BF53,3,30k,30000,Q_0#5
